"Match","Date","Tournament","Radiant","Dire","Winner","Round","Game","Time","Score"
"993195314","10/30/14","The Summit 2","Alliance","Fnatic.EU","RADIANT","","","36.03","34 - 33"
"992811522","10/30/14","The Summit 2","Alliance","M5","RADIANT","","","24.83","30 - 9"
"989095802","10/28/14","The Summit 2 Europe Qualifier","VP.Polar","Alliance","DIRE","Group Stage","1","40.28","18 - 31"
"984897939","10/26/14","StarSeries X Finals","Alliance","C9","DIRE","LB Semifinals","3","32.58","4 - 20"
"984727791","10/26/14","StarSeries X Finals","C9","Alliance","DIRE","LB Semifinals","2","49.37","12 - 22"
"984581112","10/26/14","StarSeries X Finals","Alliance","C9","DIRE","LB Semifinals","1","42.60","12 - 25"
"982210989","10/25/14","StarSeries X Finals","Alliance","Tinker","RADIANT","LB Quarterfinals","1","56.70","36 - 22"
"982061375","10/25/14","StarSeries X Finals","IAP","Alliance","DIRE","LB Round of 16","1","47.27","24 - 41"
"979771191","10/24/14","StarSeries X Finals","Alliance","C9","RADIANT","Group Stage","1","39.50","23 - 7"
"978458192","10/23/14","StarSeries X Finals","EG","Alliance","RADIANT","Group Stage","1","31.70","30 - 10"
"977768234","10/23/14","StarSeries X Finals","Alliance","Tinker","DIRE","Group Stage","1","41.77","10 - 30"
"975092041","10/21/14","The Summit 2 Europe Qualifier","Alliance","NaVi","DIRE","Group Stage","1","25.70","4 - 21"
"973120899","10/20/14","The Summit 2 Europe Qualifier","Alliance","C9","DIRE","Group Stage","1","42.88","19 - 21"
"972689000","10/20/14","The Summit 2 Europe Qualifier","Secret","Alliance","DIRE","Group Stage","1","45.05","17 - 23"
"971489114","10/19/14","The Summit 2 Europe Qualifier","Alliance","Tinker","DIRE","Group Stage","1","40.40","28 - 36"
"971241327","10/19/14","The Summit 2 Europe Qualifier","Alliance","Empire","DIRE","Group Stage","1","58.87","32 - 52"
"971083095","10/19/14","The Summit 2 Europe Qualifier","Alliance","BBC","RADIANT","Group Stage","1","48.18","39 - 28"
"966647492","10/17/14","The Summit 2 Europe Qualifier","Power Rangers","Alliance","RADIANT","Group Stage","1","30.98","28 - 6"
"962229757","10/15/14","The Summit 2 Europe Qualifier","Alliance","KPG","DIRE","Group Stage","1","32.98","19 - 23"
"950618401","10/09/14","ESL One NY Finals","Alliance","EG","RADIANT","Quarterfinals","1","73.25","38 - 28"
"939632346","10/04/14","World Cyber Arena","Alliance","C9","DIRE","LB Finals","2","34.62","16 - 28"
"939111085","10/04/14","World Cyber Arena","Alliance","C9","DIRE","LB Finals","1","101.45","13 - 36"
"938340111","10/03/14","World Cyber Arena","Nb","Alliance","RADIANT","UB Finals","2","28.70","23 - 24"
"938252027","10/03/14","World Cyber Arena","Alliance","Nb","DIRE","UB Finals","1","57.02","27 - 37"
"936442011","10/03/14","World Cyber Arena","Alliance","VG","RADIANT","UB Semifinals","2","51.72","40 - 27"
"936323629","10/02/14","World Cyber Arena","VG","Alliance","DIRE","UB Semifinals","1","63.02","4 - 16"
"934664221","10/02/14","World Cyber Arena","Alliance","MY","RADIANT","UB Quarterfinals","2","37.85","31 - 12"
"934531683","10/02/14","World Cyber Arena","MY","Alliance","DIRE","UB Quarterfinals","1","55.07","17 - 35"
"927959234","09/28/14","StarSeries X Europe","HR","Alliance","DIRE","Group Stage","1","53.20","38 - 39"
"927728762","09/28/14","StarSeries X Europe","Alliance","KPG","DIRE","Group Stage","1","45.43","32 - 31"
"927579087","09/28/14","StarSeries X Europe","Fnatic.EU","Alliance","DIRE","Group Stage","1","46.78","13 - 46"
"927377579","09/28/14","StarSeries X Europe","Alliance","NEXT.kz","RADIANT","Group Stage","1","65.67","46 - 43"
"925202259","09/27/14","D2CL 4 Europe Qualifier","C9","Alliance","DIRE","Group Stage","2","34.75","15 - 30"
"924990462","09/27/14","D2CL 4 Europe Qualifier","Alliance","C9","DIRE","Group Stage","1","68.42","35 - 40"
"914245960","09/22/14","ESL One NY Europe Qualifier","Alliance","C9","DIRE","UB Semifinals","2","30.73","20 - 32"
"914167980","09/22/14","ESL One NY Europe Qualifier","C9","Alliance","RADIANT","UB Semifinals","1","36.40","28 - 18"
"905166134","09/18/14","StarSeries X Europe","Alliance","VP","RADIANT","Group Stage","1","51.77","37 - 20"
"892202489","09/12/14","StarSeries X Europe","Alliance","Power Rangers","RADIANT","Group Stage","1","52.43","28 - 18"
"889692408","09/11/14","StarSeries X Europe","MYM 2","Alliance","RADIANT","Group Stage","1","57.67","29 - 31"
"888082728","09/10/14","StarSeries X Europe","AS","Alliance","RADIANT","Group Stage","1","54.95","36 - 25"
"886135896","09/09/14","ESL One NY Europe Qualifier","M5","Alliance","DIRE","UB Quarterfinals","2","57.98","31 - 42"
"886087786","09/09/14","ESL One NY Europe Qualifier","Alliance","M5","RADIANT","UB Quarterfinals","1","17.58","22 - 5"
"883914342","09/08/14","D2CL 4 Europe Qualifier","Empire","Alliance","DIRE","Group Stage","2","36.85","19 - 42"
"883783280","09/08/14","D2CL 4 Europe Qualifier","Alliance","Empire","DIRE","Group Stage","1","38.60","18 - 25"
"881902683","09/07/14","StarSeries X Europe","Alliance","Tinker","DIRE","Group Stage","1","54.73","31 - 23"
"881678343","09/07/14","StarSeries X Europe","Alliance","Empire","RADIANT","Group Stage","1","43.57","37 - 26"
"879232371","09/06/14","StarSeries X Europe","NVMI","Alliance","DIRE","Group Stage","1","44.47","20 - 23"
"872734655","09/03/14","StarSeries X Europe","Alliance","Cleave","RADIANT","Group Stage","1","37.83","26 - 15"
"872658524","09/03/14","D2CL 4 Europe Qualifier","Power Rangers","Alliance","RADIANT","Group Stage","2","30.38","28 - 11"
"872542222","09/03/14","D2CL 4 Europe Qualifier","Power Rangers","Alliance","RADIANT","Group Stage","1","36.63","25 - 11"
"871088236","09/02/14","D2CL 4 Europe Qualifier","Alliance","Tinker","DIRE","Group Stage","2","39.05","22 - 30"
"871013314","09/02/14","D2CL 4 Europe Qualifier","Alliance","Tinker","DIRE","Group Stage","1","29.62","11 - 21"
"869508123","09/01/14","D2CL 4 Europe Qualifier","Alliance","NaVi","RADIANT","Group Stage","2","69.72","54 - 34"
"869419118","09/01/14","D2CL 4 Europe Qualifier","NaVi","Alliance","RADIANT","Group Stage","1","31.47","30 - 17"
"861453247","08/28/14","StarSeries X Europe","NaVi","Alliance","RADIANT","Group Stage","1","26.43","24 - 12"
"859847485","08/27/14","StarSeries X Europe","Secret","Alliance","DIRE","Group Stage","1","29.52","5 - 35"
"859607459","08/27/14","StarSeries X Europe","C9","Alliance","DIRE","Group Stage","1","40.93","20 - 31"
"772548096","07/12/14","The International 2014","Alliance","EG","DIRE","Group Stage","1","47.40","15 - 29"
"772432494","07/12/14","The International 2014","NaVi","Alliance","DIRE","Group Stage","1","66.33","17 - 24"
"771125367","07/11/14","The International 2014","Liquid","Alliance","RADIANT","Group Stage","1","56.13","36 - 13"
"770899986","07/11/14","The International 2014","Alliance","C9","RADIANT","Group Stage","1","34.08","18 - 11"
"770858488","07/11/14","The International 2014","VG","Alliance","RADIANT","Group Stage","1","14.53","28 - 5"
"770551674","07/11/14","The International 2014","LGD.cn","Alliance","RADIANT","Group Stage","1","44.27","29 - 13"
"769374450","07/10/14","The International 2014","Fnatic.EU","Alliance","RADIANT","Group Stage","1","45.12","24 - 15"
"769328512","07/10/14","The International 2014","NaVi.US","Alliance","DIRE","Group Stage","1","41.28","11 - 27"
"769161952","07/10/14","The International 2014","Empire","Alliance","DIRE","Group Stage","1","35.08","12 - 27"
"769044770","07/10/14","The International 2014","mouz","Alliance","DIRE","Group Stage","1","39.55","10 - 22"
"767689193","07/09/14","The International 2014","DK","Alliance","RADIANT","Group Stage","1","50.33","30 - 22"
"767596783","07/09/14","The International 2014","Arrow","Alliance","DIRE","Group Stage","1","34.32","13 - 37"
