"Match","Date","Event","Radiant","Dire","Winner","Round","Game","Time","Kill Score"
"984897939","10/26/14","StarSeries X Finals","Alliance","C9","DIRE","LB Semifinals","3","32.58","4 - 20"
"984727791","10/26/14","StarSeries X Finals","C9","Alliance","DIRE","LB Semifinals","2","49.37","12 - 22"
"984581112","10/26/14","StarSeries X Finals","Alliance","C9","DIRE","LB Semifinals","1","42.60","12 - 25"
"979771191","10/24/14","StarSeries X Finals","Alliance","C9","RADIANT","Group Stage","1","39.50","23 - 7"
"973120899","10/20/14","The Summit 2 Europe Qualifier","Alliance","C9","DIRE","Group Stage","1","42.88","19 - 21"
"939632346","10/04/14","World Cyber Arena","Alliance","C9","DIRE","LB Finals","2","34.62","16 - 28"
"939111085","10/04/14","World Cyber Arena","Alliance","C9","DIRE","LB Finals","1","101.45","13 - 36"
"925202259","09/27/14","D2CL 4 Europe Qualifier","C9","Alliance","DIRE","Group Stage","2","34.75","15 - 30"
"924990462","09/27/14","D2CL 4 Europe Qualifier","Alliance","C9","DIRE","Group Stage","1","68.42","35 - 40"
"914245960","09/22/14","ESL One NY Europe Qualifier","Alliance","C9","DIRE","UB Semifinals","2","30.73","20 - 32"
"914167980","09/22/14","ESL One NY Europe Qualifier","C9","Alliance","RADIANT","UB Semifinals","1","36.40","28 - 18"
"859607459","08/27/14","StarSeries X Europe","C9","Alliance","DIRE","Group Stage","1","40.93","20 - 31"
"770899986","07/11/14","The International 2014","Alliance","C9","RADIANT","Group Stage","1","34.08","18 - 11"
"747154300","06/28/14","ESL Frankfurt Finals","Alliance","C9","RADIANT","Quarterfinals","2","83.15","38 - 54"
"747066559","06/28/14","ESL Frankfurt Finals","C9","Alliance","DIRE","Quarterfinals","1","33.50","14 - 34"
"724015106","06/16/14","DreamLeague Season 1 Finals","Alliance","C9","RADIANT","Finals","5","33.57","23 - 11"
"723952356","06/16/14","DreamLeague Season 1 Finals","C9","Alliance","RADIANT","Finals","4","45.35","45 - 19"
"723850342","06/16/14","DreamLeague Season 1 Finals","Alliance","C9","RADIANT","Finals","3","54.62","29 - 22"
"723729189","06/16/14","DreamLeague Season 1 Finals","C9","Alliance","RADIANT","Finals","2","50.63","42 - 29"
"723637942","06/16/14","DreamLeague Season 1 Finals","Alliance","C9","RADIANT","Finals","1","27.15","25 - 7"
"722187017","06/15/14","DreamLeague Season 1 Finals","Alliance","C9","RADIANT","UB Finals","2","20.45","18 - 0"
"722113814","06/15/14","DreamLeague Season 1 Finals","C9","Alliance","DIRE","UB Finals","1","36.90","13 - 23"
"630185898","04/27/14","Dreamhack Bucharest 2014","C9","Alliance","DIRE","Finals","2","24.48","9 - 30"
"630088610","04/27/14","Dreamhack Bucharest 2014","Alliance","C9","RADIANT","Finals","1","32.45","27 - 7"
"628484826","04/26/14","Dreamhack Bucharest 2014","Alliance","C9","DIRE","UB Finals","3","33.92","9 - 24"
"628398985","04/26/14","Dreamhack Bucharest 2014","C9","Alliance","DIRE","UB Finals","2","22.43","7 - 20"
"628275541","04/26/14","Dreamhack Bucharest 2014","Alliance","C9","DIRE","UB Finals","1","49.98","25 - 35"
"603874302","04/10/14","WPC ACE 2014: Western Qualifiers","Alliance","C9","RADIANT","Group Stage","2","52.28","38 - 17"
"603798571","04/10/14","WPC ACE 2014: Western Qualifiers","C9","Alliance","DIRE","Group Stage","1","39.98","13 - 20"
"602089950","04/09/14","StarSeries IX Prelims: Europe","Alliance","C9","RADIANT","Tiebreaker","1","52.33","27 - 11"
"601072579","04/08/14","D2L Western Challenge","C9","Alliance","RADIANT","Group Stage","2","46.32","34 - 30"
"601013504","04/08/14","D2L Western Challenge","Alliance","C9","DIRE","Group Stage","1","40.98","17 - 33"
"568394580","03/18/14","DreamLeague Season 1 Prelims","Alliance","C9","DIRE","Group Stage","1","40.80","18 - 29"
"561068032","03/13/14","StarSeries IX Prelims: Europe","C9","Alliance","RADIANT","Group Stage","1","35.90","23 - 16"
