"Match","Date","Event","Radiant","Dire","Winner","Round","Game","Time","Kill Score"
"975092041","10/21/14","The Summit 2 Europe Qualifier","Alliance","NaVi","DIRE","Group Stage","1","25.70","4 - 21"
"869508123","09/01/14","D2CL 4 Europe Qualifier","Alliance","NaVi","RADIANT","Group Stage","2","69.72","54 - 34"
"869419118","09/01/14","D2CL 4 Europe Qualifier","NaVi","Alliance","RADIANT","Group Stage","1","31.47","30 - 17"
"861453247","08/28/14","StarSeries X Europe","NaVi","Alliance","RADIANT","Group Stage","1","26.43","24 - 12"
"772432494","07/12/14","The International 2014","NaVi","Alliance","DIRE","Group Stage","1","66.33","17 - 24"
"610550812","04/14/14","D2L Western Challenge","NaVi","Alliance","RADIANT","Group Stage","3","41.03","37 - 27"
"610510725","04/14/14","D2L Western Challenge","NaVi","Alliance","RADIANT","Group Stage","2","27.92","24 - 6"
"610447143","04/14/14","D2L Western Challenge","Alliance","NaVi","RADIANT","Group Stage","1","38.27","30 - 22"
"610263617","04/14/14","DreamLeague Season 1 Prelims","Alliance","NaVi","RADIANT","Group Stage","1","33.70","16 - 4"
"584015812","03/28/14","D2CL 2","NaVi","Alliance","RADIANT","Semifinals","5","27.53","33 - 8"
"583924864","03/28/14","D2CL 2","Alliance","NaVi","RADIANT","Semifinals","4","46.57","42 - 23"
"583845655","03/28/14","D2CL 2","Alliance","NaVi","RADIANT","Semifinals","3","30.62","24 - 10"
"583783006","03/28/14","D2CL 2","NaVi","Alliance","RADIANT","Semifinals","2","16.67","17 - 2"
"583654256","03/28/14","D2CL 2","Alliance","NaVi","DIRE","Semifinals","1","50.58","41 - 35"
"559573652","03/12/14","StarSeries IX Prelims: Europe","NaVi","Alliance","RADIANT","Group Stage","1","25.12","23 - 11"
"475880380","01/19/14","StarSeries VIII Finals","Alliance","NaVi","DIRE","Finals","3","33.44","12 - 20"
"475803414","01/19/14","StarSeries VIII Finals","NaVi","Alliance","RADIANT","Finals","2","53.34","27 - 13"
"475760161","01/19/14","StarSeries VIII Finals","Alliance","NaVi","DIRE","Finals","1","17.30","1 - 17"
"416972601","12/10/13","StarSeries VIII Prelims","Alliance","NaVi","RADIANT","Group Stage","1","37.65","34 - 18"
"404918131","11/30/13","DreamLeague Finals","Alliance","NaVi","DIRE","LB Finals","3","56.50","22 - 33"
"404832490","11/30/13","DreamLeague Finals","NaVi","Alliance","RADIANT","LB Finals","2","26.60","25 - 5"
"404759489","11/30/13","DreamLeague Finals","Alliance","NaVi","DIRE","LB Finals","1","25.43","14 - 31"
"397116985","11/23/13","MLG Columbus","NaVi","Alliance","RADIANT","Group Stage","1","29.53","26 - 8"
"393062355","11/20/13","DreamLeague Prelims","Alliance","NaVi","RADIANT","Group Stage","1","32.77","43 - 32"
"380364875","11/11/13","D2L Season 4 Prelims","NaVi","Alliance","DIRE","Group Stage","2","25.63","7 - 22"
"380331315","11/11/13","D2L Season 4 Prelims","Alliance","NaVi","RADIANT","Group Stage","1","45.49","23 - 25"
"379250352","11/10/13","WePlay 2","Alliance","NaVi","DIRE","Finals","5","34.84","10 - 26"
"379226050","11/10/13","WePlay 2","NaVi","Alliance","RADIANT","Finals","4","21.95","19 - 11"
"379195312","11/10/13","WePlay 2","Alliance","NaVi","RADIANT","Finals","3","24.39","20 - 15"
"379146888","11/10/13","WePlay 2","NaVi","Alliance","RADIANT","Finals","2","43.01","33 - 21"
"379109590","11/10/13","WePlay 2","Alliance","NaVi","RADIANT","Finals","1","18.48","17 - 4"
"372675820","11/05/13","DreamLeague Prelims","Alliance","NaVi","RADIANT","Group Stage","1","36.34","28 - 18"
"358502453","10/25/13","WePlay 2","Alliance","NaVi","RADIANT","UB Finals","2","39.00","36 - 24"
"358389312","10/25/13","WePlay 2","NaVi","Alliance","DIRE","UB Finals","1","55.59","30 - 37"
"344131123","10/13/13","StarSeries VII Finals","NaVi","Alliance","RADIANT","Finals","5","40.41","40 - 15"
"344083276","10/13/13","StarSeries VII Finals","Alliance","NaVi","RADIANT","Finals","4","29.73","29 - 10"
"344021308","10/13/13","StarSeries VII Finals","NaVi","Alliance","RADIANT","Finals","3","37.30","39 - 25"
"343991635","10/13/13","StarSeries VII Finals","Alliance","NaVi","DIRE","Finals","2","16.61","2 - 11"
"341127762","10/11/13","StarSeries VII Finals","NaVi","Alliance","DIRE","UB Finals","3","20.97","2 - 20"
"341039560","10/11/13","StarSeries VII Finals","Alliance","NaVi","RADIANT","UB Finals","2","39.04","35 - 18"
"340980808","10/11/13","StarSeries VII Finals","NaVi","Alliance","RADIANT","UB Finals","1","22.23","19 - 8"
"319493308","09/22/13","StarSeries VII Prelims","NaVi","Alliance","RADIANT","Group Stage","1","24.53","26 - 2"
"271145478","08/11/13","The International 2013","NaVi","Alliance","DIRE","Finals","5","43.70","30 - 27"
"271123757","08/11/13","The International 2013","NaVi","Alliance","DIRE","Finals","4","36.37","12 - 28"
"271102834","08/11/13","The International 2013","NaVi","Alliance","RADIANT","Finals","3","47.44","23 - 25"
"271088718","08/11/13","The International 2013","NaVi","Alliance","RADIANT","Finals","2","20.55","20 - 4"
"271076032","08/11/13","The International 2013","NaVi","Alliance","DIRE","Finals","1","15.80","2 - 12"
"269927795","08/10/13","The International 2013","NaVi","Alliance","DIRE","UB Finals","2","33.09","9 - 20"
"269910097","08/10/13","The International 2013","NaVi","Alliance","DIRE","UB Finals","1","28.57","9 - 18"
"210704194","06/03/13","StarSeries VI Prelims","Alliance","NaVi","DIRE","Group Stage","1","26.73","4 - 25"
"206787800","05/29/13","RaidCall 3","Alliance","NaVi","RADIANT","Group Stage","3","33.39","29 - 14"
"206758066","05/29/13","RaidCall 3","NaVi","Alliance","DIRE","Group Stage","2","39.70","16 - 29"
"206712251","05/29/13","RaidCall 3","Alliance","NaVi","DIRE","Group Stage","1","41.01","8 - 33"
"181713732","04/26/13","G-1 2013 Western Qualifiers","Alliance","NaVi","RADIANT","UB Semifinals","3","42.74","25 - 15"
"181653484","04/26/13","G-1 2013 Western Qualifiers","NaVi","Alliance","RADIANT","UB Semifinals","2","57.39","24 - 15"
"181621275","04/26/13","G-1 2013 Western Qualifiers","Alliance","NaVi","RADIANT","UB Semifinals","1","33.91","18 - 14"
