"Match","Date","Tournament","Radiant","Dire","Winner","Round","Game","Time","Score"
"993587104","10/30/14","The Summit 2","M5","C9","RADIANT","","","31.92","39 - 15"
"993414621","10/30/14","The Summit 2","KPG","C9","RADIANT","","","40.48","49 - 47"
"991590430","10/29/14","The Summit 2 Europe Qualifier","NaVi","C9","DIRE","Group Stage","1","48.82","20 - 51"
"991316493","10/29/14","The Summit 2 Europe Qualifier","C9","Empire","RADIANT","Group Stage","1","58.08","26 - 29"
"989639902","10/28/14","The Summit 2 Europe Qualifier","BBC","C9","DIRE","Group Stage","1","25.20","8 - 33"
"989561570","10/28/14","The Summit 2 Europe Qualifier","C9","Tinker","RADIANT","Group Stage","1","39.08","29 - 25"
"985350601","10/26/14","StarSeries X Finals","EG","C9","RADIANT","LB Finals","3","31.03","31 - 13"
"985233775","10/26/14","StarSeries X Finals","C9","EG","RADIANT","LB Finals","2","33.43","20 - 14"
"985081593","10/26/14","StarSeries X Finals","EG","C9","RADIANT","LB Finals","1","41.50","25 - 9"
"984897939","10/26/14","StarSeries X Finals","Alliance","C9","DIRE","LB Semifinals","3","32.58","4 - 20"
"984727791","10/26/14","StarSeries X Finals","C9","Alliance","DIRE","LB Semifinals","2","49.37","12 - 22"
"984581112","10/26/14","StarSeries X Finals","Alliance","C9","DIRE","LB Semifinals","1","42.60","12 - 25"
"982487922","10/25/14","StarSeries X Finals","NaVi","C9","DIRE","LB Quarterfinals","1","59.67","15 - 37"
"981907272","10/25/14","StarSeries X Finals","VP","C9","DIRE","LB Round of 16","1","32.80","12 - 37"
"979771191","10/24/14","StarSeries X Finals","Alliance","C9","RADIANT","Group Stage","1","39.50","23 - 7"
"979625933","10/24/14","StarSeries X Finals","EG","C9","DIRE","Group Stage","1","55.03","33 - 30"
"979499454","10/23/14","StarSeries X Finals","C9","Tinker","DIRE","Group Stage","1","51.63","18 - 29"
"973120899","10/20/14","The Summit 2 Europe Qualifier","Alliance","C9","DIRE","Group Stage","1","42.88","19 - 21"
"973003459","10/20/14","The Summit 2 Europe Qualifier","VP.Polar","C9","DIRE","Group Stage","1","41.78","22 - 39"
"966404111","10/17/14","The Summit 2 Europe Qualifier","Power Rangers","C9","RADIANT","Group Stage","1","40.88","27 - 16"
"964679065","10/16/14","The Summit 2 Europe Qualifier","C9","Fnatic.EU","RADIANT","Group Stage","1","31.13","27 - 26"
"964612490","10/16/14","The Summit 2 Europe Qualifier","Secret","C9","RADIANT","Group Stage","1","30.70","39 - 14"
"952390999","10/10/14","ESL One NY Finals","EG","C9","RADIANT","Semifinals","3","27.10","27 - 9"
"952319500","10/10/14","ESL One NY Finals","C9","EG","RADIANT","Semifinals","2","19.38","17 - 3"
"952200005","10/10/14","ESL One NY Finals","EG","C9","RADIANT","Semifinals","1","41.47","21 - 15"
"941020348","10/04/14","World Cyber Arena","C9","Nb","DIRE","Finals","2","44.93","27 - 36"
"940848931","10/04/14","World Cyber Arena","Nb","C9","RADIANT","Finals","1","60.68","33 - 30"
"939632346","10/04/14","World Cyber Arena","Alliance","C9","DIRE","LB Finals","2","34.62","16 - 28"
"939111085","10/04/14","World Cyber Arena","Alliance","C9","DIRE","LB Finals","1","101.45","13 - 36"
"938895783","10/04/14","World Cyber Arena","VG","C9","DIRE","LB Semifinals","3","44.05","11 - 33"
"938691299","10/04/14","World Cyber Arena","C9","VG","DIRE","LB Semifinals","2","64.88","40 - 32"
"938567123","10/03/14","World Cyber Arena","VG","C9","DIRE","LB Semifinals","1","36.95","10 - 22"
"938320612","10/03/14","World Cyber Arena","C9","MY","RADIANT","LB Quarterfinals","2","43.32","33 - 14"
"938244728","10/03/14","World Cyber Arena","MY","C9","DIRE","LB Quarterfinals","1","41.37","14 - 27"
"936190138","10/02/14","World Cyber Arena","Nb","C9","RADIANT","UB Semifinals","3","25.93","15 - 2"
"936138006","10/02/14","World Cyber Arena","C9","Nb","DIRE","UB Semifinals","2","29.30","7 - 27"
"936088110","10/02/14","World Cyber Arena","Nb","C9","DIRE","UB Semifinals","1","32.83","11 - 20"
"934413504","10/01/14","World Cyber Arena","C9","LGD.cn","RADIANT","UB Quarterfinals","3","40.52","22 - 27"
