"Match","Date","Tournament","Radiant","Dire","Winner","Round","Game","Time","Score"
"994504700","10/31/14","D2CL 4 Finals","Empire","NaVi","DIRE","","","48.13","27 - 38"
"994330318","10/31/14","D2CL 4 Finals","NaVi","Empire","RADIANT","","","57.92","46 - 29"
"991590430","10/29/14","The Summit 2 Europe Qualifier","NaVi","C9","DIRE","Group Stage","1","48.82","20 - 51"
"991444156","10/29/14","The Summit 2 Europe Qualifier","VP.Polar","NaVi","RADIANT","Group Stage","1","32.28","38 - 14"
"991024920","10/29/14","EMC 2 Finals","Empire","NaVi","RADIANT","","","45.55","44 - 20"
"990836021","10/29/14","EMC 2 Finals","NaVi","Empire","DIRE","","","61.13","33 - 37"
"990685140","10/29/14","EMC 2 Finals","Empire","NaVi","DIRE","","","39.08","16 - 29"
"990541331","10/29/14","EMC 2 Finals","NaVi","Empire","DIRE","","","40.62","20 - 39"
"989476588","10/28/14","The Summit 2 Europe Qualifier","BBC","NaVi","DIRE","Group Stage","1","46.27","29 - 41"
"989215651","10/28/14","The Summit 2 Europe Qualifier","NaVi","Empire","RADIANT","Group Stage","1","38.03","28 - 15"
"988920442","10/28/14","The Summit 2 Europe Qualifier","Power Rangers","NaVi","RADIANT","Group Stage","1","48.27","36 - 28"
"987713629","10/27/14","The Summit 2 Europe Qualifier","NaVi","Tinker","RADIANT","Group Stage","1","20.98","12 - 3"
"987317691","10/27/14","The Summit 2 Europe Qualifier","M5","NaVi","DIRE","Group Stage","1","51.58","44 - 36"
"982487922","10/25/14","StarSeries X Finals","NaVi","C9","DIRE","LB Quarterfinals","1","59.67","15 - 37"
"981172491","10/24/14","StarSeries X Finals","NaVi","EG","DIRE","UB Semifinals","3","34.17","9 - 35"
"981118546","10/24/14","StarSeries X Finals","EG","NaVi","RADIANT","UB Semifinals","2","28.42","21 - 9"
"981038021","10/24/14","StarSeries X Finals","NaVi","EG","RADIANT","UB Semifinals","1","43.42","16 - 7"
"980555072","10/24/14","StarSeries X Finals","NaVi","IAP","RADIANT","Tiebreaker","1","42.38","31 - 16"
"980080186","10/24/14","StarSeries X Finals","NaVi","VP","RADIANT","Tiebreaker","1","64.78","50 - 30"
"979949207","10/24/14","StarSeries X Finals","NaVi","Secret","DIRE","Group Stage","1","17.45","3 - 30"
"978618049","10/23/14","StarSeries X Finals","NaVi","VP","DIRE","Group Stage","1","43.93","36 - 31"
"978131642","10/23/14","StarSeries X Finals","IAP","NaVi","DIRE","Group Stage","1","31.42","14 - 28"
"975092041","10/21/14","The Summit 2 Europe Qualifier","Alliance","NaVi","DIRE","Group Stage","1","25.70","4 - 21"
"968927214","10/18/14","D2CL 4 Europe Qualifier","Power Rangers","NaVi","DIRE","UB Finals","3","54.48","35 - 51"
"968782642","10/18/14","D2CL 4 Europe Qualifier","NaVi","Power Rangers","RADIANT","UB Finals","2","44.78","38 - 19"
"968617513","10/18/14","D2CL 4 Europe Qualifier","NaVi","Power Rangers","RADIANT","UB Finals","1","44.27","33 - 15"
"966231110","10/17/14","The Summit 2 Europe Qualifier","Secret","NaVi","RADIANT","Group Stage","1","41.12","32 - 16"
"962778222","10/15/14","D2CL 4 Europe Qualifier","Fnatic.EU","NaVi","DIRE","UB Semifinals","2","35.82","18 - 30"
"962729059","10/15/14","D2CL 4 Europe Qualifier","NaVi","Fnatic.EU","RADIANT","UB Semifinals","1","36.70","20 - 16"
"962625102","10/15/14","The Summit 2 Europe Qualifier","NaVi","Fnatic.EU","RADIANT","Group Stage","1","23.33","25 - 10"
"962066218","10/15/14","The Summit 2 Europe Qualifier","NaVi","KPG","RADIANT","Group Stage","1","30.15","39 - 16"
"950302838","10/09/14","ESL One NY Finals","NaVi","VG","DIRE","Quarterfinals","2","44.28","14 - 33"
"950033080","10/09/14","ESL One NY Finals","NaVi","VG","DIRE","Quarterfinals","1","39.50","13 - 27"
"946813049","10/07/14","StarSeries X Europe","Secret","NaVi","DIRE","","","29.45","11 - 16"
"946788607","10/07/14","StarSeries X Europe","NaVi","Unknown","DIRE","","","20.18","11 - 5"
"946750409","10/07/14","StarSeries X Europe","NaVi","MYM 2","RADIANT","Group Stage","1","18.22","12 - 7"
"937154024","10/03/14","World Cyber Arena","LGD.cn","NaVi","DIRE","LB Round of 16","2","60.75","25 - 31"
"936590634","10/03/14","World Cyber Arena","NaVi","LGD.cn","DIRE","LB Round of 16","1","50.85","26 - 34"
"934280211","10/01/14","World Cyber Arena","NaVi","Nb","DIRE","UB Quarterfinals","2","41.40","16 - 25"
"934173492","10/01/14","World Cyber Arena","Nb","NaVi","RADIANT","UB Quarterfinals","1","56.55","38 - 37"
"925247137","09/27/14","EMC 2 Finals","Empire","NaVi","DIRE","UB Finals","2","39.65","23 - 28"
"925010694","09/27/14","EMC 2 Finals","NaVi","Empire","RADIANT","UB Finals","1","43.62","35 - 13"
"924798050","09/27/14","ESL One NY Europe Qualifier","NEXT.kz","NaVi","DIRE","LB Semifinals","2","27.95","5 - 22"
"924685577","09/27/14","ESL One NY Europe Qualifier","NaVi","NEXT.kz","RADIANT","LB Semifinals","1","11.62","10 - 3"
"923571401","09/26/14","EMC 2 Finals","HR","NaVi","DIRE","UB Finals","1","28.48","16 - 31"
"922828973","09/26/14","StarSeries X Europe","Secret","NaVi","DIRE","Group Stage","1","19.72","12 - 12"
"917887188","09/24/14","StarSeries X Europe","NaVi","Fnatic.EU","RADIANT","Group Stage","1","33.00","30 - 13"
"916114015","09/23/14","ESL One NY Europe Qualifier","NaVi","Secret","DIRE","UB Semifinals","2","15.88","9 - 14"
"916021145","09/23/14","ESL One NY Europe Qualifier","Secret","NaVi","RADIANT","UB Semifinals","1","24.17","21 - 4"
"915705772","09/23/14","D2CL 4 Europe Qualifier","NaVi","C9","DIRE","Group Stage","1","51.22","22 - 42"
"912178662","09/21/14","D2CL 4 Europe Qualifier","NaVi","Empire","RADIANT","Group Stage","2","10.22","14 - 0"
"912056397","09/21/14","D2CL 4 Europe Qualifier","Empire","NaVi","DIRE","Group Stage","1","51.43","17 - 36"
"911855476","09/21/14","StarSeries X Europe","NaVi","HR","DIRE","Group Stage","1","38.57","13 - 36"
"909504996","09/20/14","StarSeries X Europe","VP","NaVi","DIRE","Group Stage","1","37.30","8 - 31"
"909155180","09/20/14","EMC 2 Europe Prelims","NaVi","Denial 3","RADIANT","Group Stage","2","31.47","34 - 27"
"909024942","09/20/14","EMC 2 Europe Prelims","Denial 3","NaVi","DIRE","Group Stage","1","31.27","17 - 29"
"907088466","09/19/14","StarSeries X Europe","Empire","NaVi","RADIANT","Group Stage","1","14.47","20 - 4"
"906664902","09/19/14","EMC 2 Europe Prelims","NaVi","Empire","RADIANT","Group Stage","2","22.90","27 - 12"
"906538190","09/19/14","EMC 2 Europe Prelims","Empire","NaVi","DIRE","Group Stage","1","21.48","4 - 16"
"906373181","09/19/14","EMC 2 Europe Prelims","NaVi","Fnatic.EU","RADIANT","Group Stage","2","30.05","30 - 13"
"906193503","09/19/14","EMC 2 Europe Prelims","Fnatic.EU","NaVi","DIRE","Group Stage","1","42.20","30 - 38"
"905064545","09/18/14","StarSeries X Europe","Power Rangers","NaVi","RADIANT","Group Stage","1","34.97","35 - 8"
"904346437","09/18/14","EMC 2 Europe Prelims","NaVi","VP.Polar","RADIANT","Group Stage","2","27.27","41 - 16"
"904244364","09/18/14","EMC 2 Europe Prelims","VP.Polar","NaVi","RADIANT","Group Stage","1","19.75","12 - 4"
"903142544","09/17/14","EMC 2 Europe Prelims","coL 2","NaVi","DIRE","Group Stage","2","25.58","18 - 23"
"903086379","09/17/14","EMC 2 Europe Prelims","NaVi","coL 2","RADIANT","Group Stage","1","15.53","15 - 6"
"902986152","09/17/14","D2CL 4 Europe Qualifier","Power Rangers","NaVi","RADIANT","Group Stage","2","35.55","41 - 20"
"902817942","09/17/14","D2CL 4 Europe Qualifier","Power Rangers","NaVi","DIRE","Group Stage","1","55.77","31 - 48"
"900984381","09/16/14","D2CL 4 Europe Qualifier","NaVi","Tinker","DIRE","Group Stage","2","40.20","18 - 30"
"900873297","09/16/14","D2CL 4 Europe Qualifier","NaVi","Tinker","RADIANT","Group Stage","1","27.83","27 - 8"
"900490745","09/16/14","EMC 2 Europe Prelims","NaVi","HR","RADIANT","Group Stage","2","34.85","47 - 20"
"900360449","09/16/14","EMC 2 Europe Prelims","HR","NaVi","DIRE","Group Stage","1","37.95","25 - 44"
"899387117","09/15/14","ESL One NY Europe Qualifier","NaVi","Fnatic.EU","RADIANT","UB Quarterfinals","3","31.93","26 - 18"
"899302420","09/15/14","ESL One NY Europe Qualifier","NaVi","Fnatic.EU","DIRE","UB Quarterfinals","2","52.80","24 - 52"
"899248821","09/15/14","ESL One NY Europe Qualifier","Fnatic.EU","NaVi","DIRE","UB Quarterfinals","1","17.25","7 - 10"
"894330769","09/13/14","Game Show Dota 2 League","NaVi","NVMI","DIRE","Finals","2","53.75","26 - 47"
"894127161","09/13/14","Game Show Dota 2 League","NVMI","NaVi","RADIANT","Finals","1","45.57","30 - 10"
"893934338","09/13/14","Game Show Dota 2 League","Empire","NaVi","DIRE","Semifinals","3","25.42","8 - 28"
"893724814","09/13/14","Game Show Dota 2 League","NaVi","Empire","DIRE","Semifinals","2","37.45","28 - 40"
